"data","dlicbr","dlpimp","lvix","hiato","infl","dselic","dlcambio"
2003.08333333333,3.02721075772672,3.4368732249467,3.47253837135348,2.5088723693403,1.47338662552961,0.620000000000001,4.33687719942875
2003.16666666667,-4.73435014968855,-0.51510298862123,3.42211982990402,1.4581418404198,1.20943025789611,0.640000000000001,-4.08997425204591
2003.25,0.87218598007901,-1.76828099696813,3.17771647186167,0.459622750289958,1.00756570398601,0,-10.0059028054889
2003.33333333333,1.22025323650412,-0.783565214775361,3.00763731694506,-0.893880848560688,0.748087523860323,-0.0100000000000016,-5.36807388873695
2003.41666666667,-1.58023562614655,-0.708880042755666,3.01368912749639,-1.1196365254935,0.0112035596939015,-0.219999999999999,-2.48347210057973
2003.5,1.38777128366465,0.596439263099402,2.95289594101037,-2.71931000057759,0.287123049255909,-0.73,-0.117994113984876
2003.58333333333,1.64612770540726,0.99153219179291,2.95877186113814,-2.38323867132968,0.42947665874068,-1.86,4.17244276799686
2003.66666666667,2.19155253211936,0.190779072172731,2.97207365002216,-0.49621729075779,0.789365595215592,-2.48,-2.6903214037076
2003.75,3.97032857130428,-1.26270358279017,2.89167525579961,-1.07793488913528,0.281578024080395,-1.48,-2.11960980679058
2003.83333333333,1.64484099823907,1.6431732871566,2.85653070045843,-1.20868471553727,0.316949320638453,-1.23,1.81121083707387
2003.91666666667,2.48997618717617,1.58546606531456,2.82294692047026,-1.82847521185307,0.377582590657003,-1.4,0.393896828928741
2004,-1.49721246604368,0.466128873819294,2.7788813818628,-0.4284744535029,0.578864975217835,-0.59,-2.54466656611643
2004.08333333333,0.930115661038666,3.09830200461807,2.77249003315965,0.26829542939701,0.498451424008455,-0.0199999999999996,2.71544330001885
2004.16666666667,5.53124518161932,0.135165598411469,2.87285203004735,0.955458670406595,0.440936584460079,-0.109999999999999,-0.849931433304696
2004.25,1.71220063721096,0.911338196596923,2.75356971640352,1.03658854109135,0.406991250697016,-0.23,0.017207261506802
2004.33333333333,1.64708170529018,0.814638290245906,2.87384708556387,0.56422654859826,0.61314233203656,-0.190000000000001,6.4753570277128
2004.41666666667,-0.460886200910515,4.66876315668445,2.73064156845002,1.01686477513029,0.855899717099592,0.0300000000000011,0.921428784320666
2004.5,-1.28465705079588,-1.86151023578986,2.74099362195945,1.00208652758689,0.983126345001234,-0.0300000000000011,-2.99410938349542
2004.58333333333,-0.518519680270213,1.6642159215106,2.81445562519847,1.06170276384475,0.769280234082924,0.0899999999999999,-1.1225841020037
2004.66666666667,2.32454802424584,-0.15529049496088,2.64482298913501,1.69169666234265,0.401509527161415,0.23,-3.79414358702204
2004.75,1.67889781107311,5.02826114545023,2.70630264326609,0.593191127777551,0.416326974071497,0.32,-1.33010317498403
2004.83333333333,0.498221671158472,-2.04961365613574,2.60842277889572,1.33327619428247,0.653503948833452,0.550000000000001,-2.372914543576
2004.91666666667,0.953902304675847,-0.260899564401296,2.52248703232032,0.177193556835833,0.699522982016081,0.539999999999999,-2.46369788185042
2005,0.595970212697861,0.164857847476441,2.59808651449796,0.423509154939965,0.429727762859904,0.43,-0.931408270964795
2005.08333333333,0.800700535473009,0.915494540621786,2.4603532818886,0.679878378231101,0.480799875148393,0.539999999999999,-3.59908808384154
2005.16666666667,4.19863649215513,1.32416473380825,2.57462269918476,0.435104454586054,0.685266532843249,0.5,4.03260674267737
2005.25,-1.90204883834522,3.17067511260847,2.67132035142514,0.77384239067652,0.752499138463473,0.350000000000001,-4.75117270876481
2005.33333333333,-1.77782460212832,0.0260044208980403,2.63674172550218,0.311128560650083,0.570905584599543,0.289999999999999,-5.02490441947595
2005.41666666667,-1.7631822040074,0.996062824175059,2.47389932111547,-0.705659815290822,0.165934229974298,0.140000000000001,-1.61522530170021
2005.5,-0.0468219603544817,-0.529135905806655,2.40233992613104,-1.1043920422,0.341988658119701,-0.0300000000000011,-1.67123171091749
2005.58333333333,2.5431956720217,2.59290341909653,2.56119650491329,-0.701187036682649,0.279943651505799,0.0300000000000011,-0.544983499640417
2005.66666666667,3.34486850029236,0,2.53592411248669,-1.35097175257021,0.41956116776149,-0.140000000000001,-2.84444525896673
2005.75,4.07734228582779,2.07144916027948,2.70388279937505,-1.70043725355975,0.692613067107898,-0.359999999999999,-1.66564311382453
2005.83333333333,0.539027886531152,-1.01788366424609,2.49713318742434,-1.26291400447635,0.517286295206639,-0.379999999999999,-2.0460499307948
2005.91666666667,5.26626525833063,-0.826865147054079,2.42125662271154,-0.849205432405308,0.237574765584168,-0.630000000000003,3.32303778126911
2006,2.35211950413454,-0.188881249883721,2.4879021587678,-0.490384219741038,0.418791330705379,-0.59,-0.508839980205356
2006.08333333333,0.875236550894964,0.339729801430266,2.52341016924716,-0.791662867031614,0.300028653643959,-0.369999999999997,-5.05089543093267
2006.16666666667,-3.57796998795834,2.9823406863426,2.45906845373116,-1.34429595747247,0.375919235978868,-0.540000000000003,-0.458982237874372
2006.25,2.62456262987776,0.559271974479181,2.47210576874625,-1.0834432598267,0.228002368270233,-0.549999999999997,-1.06043550893221
2006.33333333333,1.89781063823791,1.62350989410616,2.67100892942186,-0.185411921768688,0.175592231724041,-0.490000000000002,2.26596499288294
2006.41666666667,-2.9393843663037,0.665797252010947,2.82841575776457,-1.78324494460432,-0.0240257052286652,-0.52,3.17214379457744
2006.5,2.84342427833364,-1.27602947771042,2.72955073254821,-0.292529299671749,0.282275494265227,-0.199999999999999,-2.65925170536664
2006.58333333333,-1.2073358612259,1.39445677719818,2.59164664830429,-0.668150545620022,0.173338681342374,-0.32,-1.5373588249329
2006.66666666667,-3.01857599861766,-0.581638532143991,2.50016465217698,-0.809826599809071,0.276278561190677,-0.49,0.591963991039968
2006.75,2.04210109787786,-0.836824967051619,2.42536572086728,-0.149839436918983,0.297029840829139,-0.220000000000001,-0.945107799335732
2006.83333333333,3.80273955892392,-0.12012013456344,2.38117619815171,0.194158480232433,0.285272915592455,-0.299999999999999,0.44586948604165
2006.91666666667,1.25787822068597,-1.50160244564637,2.39466278119495,1.04733794944776,0.33973146020581,-0.460000000000001,-0.371419712931798
2007,-1.16345842328327,-0.427951988954778,2.40175146448854,0.306713293545828,0.285322357957416,-0.0599999999999987,-0.531668074513891
2007.08333333333,1.69376622048718,1.12100601234415,2.41191141863221,0.221107865314986,0.319310899325998,-0.200000000000001,-1.99307626971267
2007.16666666667,0.287236704320293,-0.754078007708259,2.71884026329071,-0.763202668479007,0.314616686623209,-0.19,-0.363202310856536
2007.25,-0.203760374286244,4.231032603409,2.55978218443311,0.163374166088628,0.2670062660637,-0.16,-2.75213331628987
2007.33333333333,0.342450239797376,1.70567458266291,2.58759313887593,0.738641483853232,0.34249212928823,-0.15,-2.51159305232228
2007.41666666667,0.562032160799042,1.9030829035712,2.70455202612448,0.983606410166181,0.433022961192521,-0.4,-2.54006245766415
